iter	Passed	Remaining
0	29	5936
1	59	5872
2	86	5710
3	113	5557
4	138	5383
5	158	5133
6	179	4950
7	202	4849
8	222	4716
9	244	4649
10	268	4616
11	290	4557
12	312	4489
13	334	4441
14	358	4415
15	379	4358
16	398	4292
17	419	4237
18	442	4214
19	463	4175
20	483	4122
21	507	4109
22	528	4070
23	549	4031
24	569	3988
25	590	3949
26	608	3899
27	633	3889
28	662	3904
29	684	3880
30	709	3867
31	727	3820
32	746	3775
33	764	3733
34	782	3687
35	800	3644
36	820	3616
37	840	3581
38	859	3547
39	880	3520
40	901	3496
41	920	3464
42	941	3439
43	961	3407
44	983	3386
45	1001	3351
46	1024	3333
47	1042	3302
48	1059	3266
49	1079	3238
50	1099	3211
51	1118	3184
52	1138	3156
53	1156	3126
54	1175	3098
55	1195	3073
56	1214	3047
57	1231	3015
58	1250	2988
59	1268	2960
60	1287	2932
61	1306	2907
62	1327	2886
63	1348	2866
64	1372	2849
65	1400	2844
66	1429	2837
67	1457	2828
68	1490	2828
69	1518	2820
70	1542	2803
71	1570	2792
72	1596	2777
73	1621	2761
74	1647	2746
75	1668	2722
76	1686	2694
77	1705	2668
78	1725	2642
79	1742	2613
80	1762	2589
81	1781	2563
82	1799	2536
83	1818	2511
84	1838	2486
85	1857	2461
86	1877	2438
87	1895	2412
88	1913	2386
89	1936	2366
90	1953	2340
91	1976	2319
92	1996	2297
93	2020	2278
94	2038	2253
95	2061	2233
96	2078	2207
97	2097	2183
98	2114	2157
99	2133	2133
100	2153	2110
101	2171	2086
102	2188	2061
103	2205	2036
104	2225	2013
105	2244	1990
106	2261	1965
107	2280	1942
108	2296	1917
109	2317	1895
110	2335	1872
111	2354	1849
112	2376	1829
113	2398	1809
114	2417	1786
115	2433	1762
116	2451	1739
117	2472	1717
118	2490	1695
119	2509	1672
120	2527	1649
121	2546	1628
122	2566	1606
123	2588	1586
124	2609	1565
125	2628	1543
126	2648	1522
127	2665	1499
128	2682	1476
129	2699	1453
130	2720	1433
131	2744	1413
132	2767	1394
133	2790	1374
134	2809	1352
135	2829	1331
136	2847	1309
137	2871	1289
138	2894	1270
139	2917	1250
140	2940	1230
141	2962	1210
142	2982	1188
143	3003	1167
144	3022	1146
145	3039	1124
146	3057	1102
147	3076	1080
148	3093	1058
149	3116	1038
150	3132	1016
151	3148	994
152	3169	973
153	3187	952
154	3205	930
155	3224	909
156	3241	887
157	3258	866
158	3278	845
159	3298	824
160	3317	803
161	3335	782
162	3352	760
163	3368	739
164	3386	718
165	3404	697
166	3425	676
167	3441	655
168	3458	634
169	3477	613
170	3496	592
171	3514	572
172	3531	551
173	3549	530
174	3568	509
175	3586	489
176	3601	467
177	3616	447
178	3635	426
179	3653	405
180	3671	385
181	3692	365
182	3713	344
183	3733	324
184	3752	304
185	3769	283
186	3789	263
187	3808	243
188	3826	222
189	3846	202
190	3866	182
191	3883	161
192	3902	141
193	3922	121
194	3938	100
195	3961	80
196	3986	60
197	4004	40
198	4024	20
199	4044	0
