number,value,datetime_start,datetime_complete,duration,params_max_depth,params_max_features,params_min_frequency,params_min_samples_leaf,params_min_samples_split,params_n_estimators,state
0,0.8429948442053352,2024-11-28 09:14:29.954343,2024-11-28 09:14:53.983308,0 days 00:00:24.028965,12,sqrt,0.15607064635047138,4,13,1000,COMPLETE
1,0.8415153553015019,2024-11-28 09:14:53.987135,2024-11-28 09:15:07.753465,0 days 00:00:13.766330,12,sqrt,0.34780869685222476,20,2,650,COMPLETE
2,0.8367630576104013,2024-11-28 09:15:07.755896,2024-11-28 09:15:11.786830,0 days 00:00:04.030934,6,log2,0.08091173721076923,9,11,250,COMPLETE
3,0.8391392064559516,2024-11-28 09:15:11.789439,2024-11-28 09:15:18.085231,0 days 00:00:06.295792,7,log2,0.06440260565429631,16,10,350,COMPLETE
4,0.8427258462228201,2024-11-28 09:15:18.088200,2024-11-28 09:15:20.415383,0 days 00:00:02.327183,10,log2,0.24104168185619657,2,5,100,COMPLETE
5,0.830979600986326,2024-11-28 09:15:20.418202,2024-11-28 09:15:25.226426,0 days 00:00:04.808224,4,log2,0.32527496576541987,9,15,350,COMPLETE
6,0.836225061645371,2024-11-28 09:15:25.229861,2024-11-28 09:15:40.850446,0 days 00:00:15.620585,6,log2,0.023411523234935176,7,14,950,COMPLETE
7,0.8409773593364716,2024-11-28 09:15:40.851859,2024-11-28 09:16:02.243494,0 days 00:00:21.391635,13,log2,0.08209323765495555,18,19,1000,COMPLETE
8,0.8247926473884778,2024-11-28 09:16:02.244411,2024-11-28 09:16:05.928213,0 days 00:00:03.683802,3,log2,0.04451207580024861,8,8,250,COMPLETE
9,0.8404393633714413,2024-11-28 09:16:05.929121,2024-11-28 09:16:13.001928,0 days 00:00:07.072807,10,log2,0.14913379741049984,17,4,350,COMPLETE
10,0.8434880071732795,2024-11-28 09:16:13.004724,2024-11-28 09:16:29.304909,0 days 00:00:16.300185,15,sqrt,0.21032870925426136,1,19,750,COMPLETE
11,0.8431293431965926,2024-11-28 09:16:29.306166,2024-11-28 09:16:46.342504,0 days 00:00:17.036338,15,sqrt,0.21061296255144663,1,20,800,COMPLETE
12,0.8424568482403048,2024-11-28 09:16:46.344175,2024-11-28 09:17:02.873723,0 days 00:00:16.529548,15,sqrt,0.2555793415987334,1,20,750,COMPLETE
13,0.8425016812373908,2024-11-28 09:17:02.874659,2024-11-28 09:17:19.428088,0 days 00:00:16.553429,15,sqrt,0.19116011502374458,13,17,800,COMPLETE
14,0.8425016812373907,2024-11-28 09:17:19.430993,2024-11-28 09:17:30.643105,0 days 00:00:11.212112,14,sqrt,0.2834534122035663,5,17,550,COMPLETE
15,0.8420533512665322,2024-11-28 09:17:30.645255,2024-11-28 09:17:48.406093,0 days 00:00:17.760838,12,sqrt,0.39975135107020493,4,20,850,COMPLETE
